5.661, -34.1165
5.68, -34.0719
5.7, -34.0405
5.72, -34.0366
5.74, -34.0476
5.76, -34.0569
5.781, -34.0443
5.8, -34.0137
5.82, -33.9419
5.841, -33.817
5.86, -33.7327
5.88, -33.6272
5.9, -33.5483
5.92, -33.5099
5.94, -33.5154
5.96, -33.5565
5.98, -33.6165
6, -33.677
6.02, -33.7244
6.04, -33.754
6.06, -33.769
6.08, -33.7772
6.1, -33.7869
6.12, -33.8025
6.141, -33.8159
6.16, -33.8432
6.18, -33.8472
6.2, -33.8291
6.22, -33.7861
6.24, -33.7231
6.26, -33.6515
6.281, -33.5604
6.3, -33.5296
6.32, -33.5044
6.34, -33.5011
6.36, -33.5103
6.38, -33.5172
6.4, -33.5053
6.42, -33.4611
6.44, -33.3776
6.46, -33.2575
6.48, -33.1131
6.501, -32.9269
6.52, -32.8325
6.54, -32.7442
6.56, -32.7086
6.58, -32.7239
6.6, -32.7738
6.62, -32.8346
6.641, -32.8859
6.66, -32.9163
6.68, -32.93
6.701, -32.9292
6.72, -32.9349
6.74, -32.9316
6.76, -32.9223
6.78, -32.9017
6.8, -32.8657
6.82, -32.8143
6.84, -32.7521
6.86, -32.687
6.88, -32.6285
6.9, -32.5848
6.92, -32.56
6.94, -32.5536
6.96, -32.5593
6.98, -32.5674
7, -32.5663
7.021, -32.5366
7.04, -32.5043
7.06, -32.4326
7.08, -32.342
7.1, -32.245
7.12, -32.1577
7.14, -32.0954
7.16, -32.0688
7.18, -32.08
7.2, -32.1206
7.221, -32.1703
7.24, -32.2186
7.26, -32.2508
7.28, -32.2645
7.3, -32.2654
7.32, -32.259
7.34, -32.2457
7.36, -32.22
7.38, -32.1748
7.4, -32.1075
7.42, -32.0227
7.44, -31.9318
7.46, -31.8495
7.48, -31.7889
7.501, -31.7391
7.52, -31.7501
7.54, -31.772
7.56, -31.803
7.58, -31.8269
7.6, -31.8289
7.62, -31.7994
7.64, -31.7366
7.661, -31.622
7.68, -31.549
7.7, -31.4548
7.72, -31.3848
7.74, -31.351
7.76, -31.3565
7.78, -31.3948
7.8, -31.4521
7.82, -31.5132
7.84, -31.5661
7.86, -31.6059
7.88, -31.6354
7.9, -31.6632
7.92, -31.6994
7.94, -31.7501
7.96, -31.8133
7.98, -31.8767
8, -31.9223
8.02, -31.9342
8.04, -31.9058
8.06, -31.8434
8.08, -31.7631
8.1, -31.6847
8.12, -31.6252
8.14, -31.5936
8.161, -31.5828
8.18, -31.5942
8.2, -31.6023
8.221, -31.585
8.24, -31.5425
8.26, -31.4478
8.28, -31.3139
8.3, -31.1577
8.321, -30.964
8.34, -30.8812
8.36, -30.8168
8.38, -30.819
8.4, -30.8795
8.42, -30.9731
8.441, -31.0672
8.461, -31.1393
8.48, -31.1811
8.501, -31.1968
8.52, -31.2032
8.54, -31.2048
8.56, -31.2101
8.58, -31.2186
